lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n00001.sg01.s02.u01		redeo à domo	 redeo à domo 	 Eu torno da casa 	
usageExample:n00001.sg01.s03.u01		à coena	 à coena 	 despois da cea 	
usageExample:n00001.sg01.s03.u02		secũdus à rege	 secũdus à Rege 	 o mayor logo despois del Rey 	
usageExample:n00001.sg01.s04.u01		à secretis regis	 à secretis Regis 	 o secretayro del Rey 	
usageExample:n00001.sg01.s04.u02		à sacris concionibus	 à sacris concionibus 	 Hum pregador 	
usageExample:n00002.sg01.s01.u01		ah quid facis	 Ah quid facis 	 ey que fazeys 	
usageExample:n00002.sg01.s02.u01		ah ah ah	 Ah ah ah 	 ha ha ha 	
usageExample:n00003.sg01.s01.u01		uenio ab urbe	 venio ab vrbe 	 Venho da cidade 	
usageExample:n00003.sg01.s01.u02		ne quid ores ab re	 Ne quid ores ab re 		idest. nihil absurdum.
usageExample:n00003.sg01.s01.u03		nã peçaes cousa deshonesta	 Nã peçaes cousa deshonesta 		
usageExample:n00003.sg01.s01.u04		ab ineunte aetate	 ab ineunte aetate 	 des na mocidade . ou desde menino 	
usageExample:n00003.sg01.s01.u05		hoc abs te peto	 Hoc abs te peto 	 Isto vos peço 	
usageExample:n00138.sg01.s01.u01		abs te	 abs te 		
usageExample:n00138.sg01.s01.u02		abs quiuis	 abs quiuis 		
usageExample:n00253.sg01.s01.u01	Terent.	nõ rectè accipis	 nõ rectè accipis 	 Não entendeis bem 	
usageExample:n00905.sg01.s01.u01		ago eunuchum	 Ago Eunuchum 		
usageExample:n00905.sg01.s01.u02		ago parasitum	 Ago Parasitum 		
usageExample:n01041.sg01.s01.u01		aliquanto doctior	 aliquanto doctior 		
usageExample:n01047.sg01.s01.u01		aliquid boni	 aliquid boni 	 Algo de bem 	
usageExample:n01334.sg10.s01.u01		albus an ater sis nescio	 albus an ater sis nescio 	 Nã sey se soys bom se mao homem 	
usageExample:n01348.sg01.s01.u01	Vergilius.	nate meae uires. nate patris summi	 Nate meae vires . nate patris summi 		
usageExample:n01467.sg01.s01.u01		animaduerto in te	 animaduerto in te 	 Castigo 	
usageExample:n01541.sg01.s01.u01		ante diem	 ante diem 		
usageExample:n01541.sg01.s01.u02		ante tempus	 ante tempus 		
usageExample:n01569.sg01.s01.u01	Maro.	ignari sumus antemalorum	 ignari sumus antemalorum 		
usageExample:n01714.sg01.s01.u01	vergil.	quos ego	 Quos ego 		
usageExample:n01726.sg01.s01.u01		olim lictores apparebant consulibus	 olim lictores apparebant consulibus 		
usageExample:n01771.sg01.s01.u01		nauis appulsa est	 nauis appulsa est 	 A nao aportou 	
usageExample:n03762.sg01.s01.u01		ciere bellũ	 ciere bellũ 		
usageExample:n03762.sg01.s01.u02		ciere aluum	 ciere aluum 	 Tomar cristel 	
usageExample:n06473.sg01.s01.u01		è coelo cedidit cato	 è coelo cedidit Cato 		
usageExample:n06765.sg01.s01.u01		en priamus	 en Priamus 		
usageExample:n06893.sg01.s01.u01		erga deum	 erga Deum 		
usageExample:n06897.sg01.s01.u01		ergo illius	 ergo illius 		
usageExample:n06959.sg01.s01.u01		euado poëta	 euado Poëta 		
usageExample:n07005.sg01.s01.u01		ex urbe	 ex vrbe 	 Da cidade 	
usageExample:n07611.sg01.s01.u01		lex facit pro me	 lex facit pro me 		
usageExample:n07611.sg01.s01.u02		lex facit ad me	 lex facit ad me 		
usageExample:n09853.sg01.s01.u01		in hostem	 in hostem 		
usageExample:n09854.sg01.s01.u01		in amicis te habeo	 in amicis te habeo 		
usageExample:n10884.sg01.s01.u01		instar montis	 instar montis 		
usageExample:n11514.sg01.s01.u01		ita legit	 ita legit 		
usageExample:n11515.sg01.s01.u01		ita deus me bene amet	 ita Deus me bene amet 		
usageExample:n12529.sg01.s01.u01		loco tibi filiam	 loco tibi filiam 		
usageExample:n13015.sg01.s01.u01		male sanus	 male sanus 		
usageExample:n13243.sg01.s01.u01		non est in manu mea	 non est in manu mea 		
usageExample:n14094.sg01.s01.u01		molle opus	 molle opus 		
usageExample:n15522.sg01.s01.u01		o discipule. audi	 o discipule . audi 	 O discipulo ouue 	
usageExample:n15522.sg01.s02.u01		ó hominũ ĩgratitudinẽ	 ó hominũ ĩgratitudinẽ 		
usageExample:n15522.sg01.s03.u01		o salue amice	 O salue amice 		
usageExample:n15522.sg01.s04.u01		o tantum libeat	 O tantum libeat 		
usageExample:n16287.sg01.s01.u01		opus est mihi ense	 opus est mihi ense 		
usageExample:n17210.sg01.s01.u01		per iouem iunonem	 per Iouem Iunonem 		
usageExample:n17211.sg01.s01.u01		per transennam	 per transennam 		
usageExample:n17212.sg01.s01.u01		per breuis	 per breuis 		
usageExample:n17213.sg01.s01.u01		per iurus	 per iurus 		
usageExample:n17214.sg01.s01.u01		perficio	 perficio 		
usageExample:n18877.sg01.s01.u01		pro rostris	 pro rostris 		
usageExample:n18877.sg01.s01.u02		pro tribunali	 pro tribunali 		
usageExample:n18880.sg01.s01.u01		proh iupiter	 proh Iupiter 		
usageExample:n20278.sg01.s01.u01	dixit Plautus.	bene ambula. & redambula	 bene ambula . & redambula 		
usageExample:n20323.sg01.s01.u01	Plautus.	in tuum redundauit caput	 in tuum redundauit caput 		
usageExample:n20332.sg01.s01.u01		refero res meas ad amicos	 refero res meas ad amicos 		
usageExample:n20332.sg01.s01.u02		refero de rebus meis	 refero de rebus meis 		
usageExample:n20418.sg01.s01.u01	Terẽtius.	solae utuntur iis reginae	 solae vtuntur ijs reginae 		
usageExample:n20707.sg01.s01.u01	Verg.	& lumina morte resignat	 & lumina morte resignat 		
usageExample:n23048.sg01.s01.u01		spondeo te decem aureos	 spondeo te decem aureos 	 Fio - te em dez cruzados 	
usageExample:n23999.sg01.s01.u01		super arbore	 super arbore 		
usageExample:n24000.sg01.s01.u01		satis superque	 satis superque 		
usageExample:n24541.sg01.s01.u01		ore tenus	 ore tenus 		
usageExample:n24541.sg01.s01.u02		crurum tenus	 crurum tenus 		
usageExample:n24684.sg01.s01.u01		deus	 Deus 		
usageExample:n25680.sg01.s01.u01		uel ego	 vel ego 		
usageExample:n25680.sg01.s01.u02		uel tu	 vel tu 		
usageExample:n25681.sg01.s01.u01		uel coecus hoc uidebit	 vel coecus hoc videbit 	 Até hum cego verá isto 	
usageExample:n26916.sg01.s01.u01		deus zelat nos	 Deus zelat nos 		
